algorithm,best,average,worst,std_dev,feasible_runs,n_runs,avg_runtime_s
Greedy,3.603747,3.603747,3.603747,0.000000,20,20,0.0004
Simulated Annealing,2.450662,2.543792,2.655508,0.060240,20,20,7.8529
Genetic Algorithm,2.698632,2.893552,3.173020,0.141612,20,20,50.1136
Memetic Algorithm,2.587654,2.709653,2.816896,0.077162,20,20,11.7751
ACO,2.710445,2.781758,2.802462,0.025569,20,20,54.2244
