algorithm,n_seeds,mean_total_evaluations,mean_sa_acceptance_rate,mean_sa_feasibility_rate,mean_sa_reheat_count,mean_ga_generations,mean_aco_iterations
Greedy,10,1.000000,,1.000000,,,
Simulated Annealing,10,150000.000000,0.145979,0.309337,4.600000,,
Genetic Algorithm,10,150000.000000,,0.873333,,1515.000000,
Memetic Algorithm,10,150000.000000,,0.677419,,131.000000,
ACO,10,150000.000000,,0.922222,,,15000.000000
