experiment,budget,instance,k,heuristic,algorithm,best,avg,std,feasible_runs,n_runs,avg_runtime_s,best_energy_kwh,avg_energy_kwh,avg_time_h,avg_charge_usd
candlist,30000,sf_300,0,,ACO (k=0),4.429594,4.686309,0.117849,10,10,48.4199,113.8695,120.3206,16.2437,20.7696
candlist,30000,sf_300,15,,ACO (k=15),4.511847,4.671857,0.134405,10,10,51.1927,116.5944,121.5549,16.3298,19.7633
candlist,30000,sf_300,25,,ACO (k=25),4.517519,4.659177,0.072586,10,10,58.5119,115.5912,119.6485,16.1365,20.9203
candlist,30000,sf_500,0,,ACO (k=0),5.568351,5.785764,0.159788,10,10,123.7590,146.1882,140.8449,21.2782,24.2179
candlist,30000,sf_500,15,,ACO (k=15),5.562911,5.749886,0.128423,10,10,89.8076,136.9350,139.8227,21.1531,23.7604
candlist,30000,sf_500,25,,ACO (k=25),5.554094,5.710066,0.172697,10,10,90.8476,135.6476,139.0112,20.8269,23.9719
