experiment,budget,instance,k,heuristic,algorithm,best,avg,std,feasible_runs,n_runs,avg_runtime_s,best_energy_kwh,avg_energy_kwh,avg_time_h,avg_charge_usd
eco,150000,sf_75,,distance,ACO (distance heuristic),2.710445,2.779579,0.027120,10,10,55.9178,83.9218,86.5406,8.2257,12.2608
eco,150000,sf_75,,energy,ACO (energy heuristic),2.795160,2.842392,0.031498,10,10,55.3323,86.8191,88.1876,8.2710,14.0980
