algorithm,best_cost,avg_cost,gap_vs_bb_pct,avg_runtime_s,feasible_runs,n_runs
Simulated Annealing,1.8500,1.8560,-1.59,7.2140,5,5
Genetic Algorithm,1.8293,1.8335,-2.69,6.2130,5,5
UMDA (EDA),1.8328,1.8417,-2.51,4.0892,5,5
Greedy BFD (baseline),2.0355,2.0355,8.28,0.0004,1,1
Branch & Bound,1.8800,1.8800,32.92,60.8406,1,1
