algorithm,best,average,worst,std_dev,feasible_runs,n_runs,avg_runtime_s
SA,38714.3818,38785.0793,38897.9210,98.7611,3,3,0.4490
GA,37736.2516,37839.8700,37944.8078,104.2844,3,3,0.0207
UMDA,38263.4856,38471.3671,38627.0096,187.3076,3,3,0.0455
Greedy FFD,42883.8691,42883.8691,42883.8691,0.0000,3,3,0.0003
Round-Robin,179194.5094,179194.5094,179194.5094,0.0000,0,3,0.0000
Random,169840.4369,343312.4199,510668.4542,170496.2990,0,3,0.0001
