algorithm,best_cost,avg_cost,gap_vs_bb_pct,avg_runtime_s,feasible_runs,n_runs
Simulated Annealing,1.8293,1.8314,-2.69,2.1537,5,5
Genetic Algorithm,1.8345,1.8358,-2.42,2.0612,5,5
UMDA (EDA),1.8328,1.8417,-2.51,1.8091,5,5
Greedy BFD (baseline),2.0355,2.0355,8.28,0.0001,1,1
Branch & Bound,1.8800,1.8800,32.92,50.2770,1,1
