population_size,selection_ratio,mean_F,std_F,mean_time_s,feasible_pct
50,0.3,1.8231149771652693,0.002931624002920318,7.377388800004458,100.0
50,0.5,1.8253053671176842,0.006015969056906207,7.753050333330369,100.0
50,0.7,1.8434022243061612,0.005605704318644564,7.700465366666322,100.0
100,0.3,1.8219099034411028,0.007865634568746827,2.8919703000040804,100.0
100,0.5,1.8179492944496711,0.002255553491208587,2.893723566667177,100.0
100,0.7,1.8265261360908527,0.00042167138242803556,3.006595800000165,100.0
200,0.3,1.821368563739306,0.004038718613703825,6.454861633329226,100.0
200,0.5,1.820213891804558,0.005003783081483497,7.921710266668621,100.0
200,0.7,1.8287564606936357,0.007828276006160408,7.044441666667505,100.0
