cooling_rate,iterations_per_temperature,mean_F,std_F,mean_time_s,feasible_pct
0.98,25,1.1098764965841998,0.001188620858594275,1.7222002000004675,100.0
0.98,50,1.111322789810802,0.002104222453431238,2.0821950333338464,100.0
0.98,100,1.1095748281378437,0.0019064284723767583,2.83185409999957,100.0
0.98,150,1.1112481371301133,0.003215447114990711,3.0200852999987546,100.0
0.98,200,1.1111152516385954,0.002961713558924119,2.8439107666684627,100.0
0.985,25,1.1125248609919038,0.00397541562654294,1.400642333329112,100.0
0.985,50,1.1115526521756673,0.006567112190148263,3.099009199999273,100.0
0.985,100,1.1084043650767645,0.0007023999543266173,3.4995407333335606,100.0
0.985,150,1.1098270114504059,0.0011142671922143813,3.421793100006956,100.0
0.985,200,1.1189583121834692,0.003823483034697548,9.447581833335184,100.0
0.99,25,1.1105661211690998,0.0020554007993764615,6.35677826666506,100.0
0.99,50,1.1081912835110213,0.0005623389761307717,3.2061374000040814,100.0
0.99,100,1.1099380023817422,0.001027997416692737,2.9908482000028016,100.0
0.99,150,1.124005597699085,0.003692467917129323,2.9579682999998718,100.0
0.99,200,1.1381663323831326,0.004101178938966867,2.9913352000100226,100.0
0.995,25,1.1090281857544642,0.001969257151783071,3.098586233337604,100.0
0.995,50,1.1109343499844495,0.0008853219900088104,3.2954405666678213,100.0
0.995,100,1.1410504049256451,0.0035666645110748593,2.9795970999985,100.0
0.995,150,1.1453247741601293,0.009138140927511298,2.812228499999037,100.0
0.995,200,1.153820621561465,0.003202292630249959,2.7954054000001634,100.0
0.999,25,1.1527653156026492,0.0050301361684491,2.926826800001436,100.0
0.999,50,1.1544420610840074,0.002125927803375146,2.8332242666656384,100.0
0.999,100,1.1544420610840074,0.002125927803375146,2.935290699999314,100.0
0.999,150,1.1544420610840074,0.002125927803375146,2.943008166665095,100.0
0.999,200,1.1544420610840074,0.002125927803375146,3.034941866664061,100.0
