param,value,best,average,worst,std_dev,feasible
population_size,20,1.1093874317233874,1.1255414772312091,1.1366295249935008,0.009918044136239715,5
population_size,50,1.11138004877524,1.1180398819401052,1.1242867525937463,0.005732786177571177,5
population_size,100,1.108865304028222,1.1200773291101942,1.1289155756690032,0.00860603388370858,5
crossover_prob,0.6,1.1210022267593873,1.1245885496743293,1.1293399832122077,0.0038591087898740117,5
crossover_prob,0.7,1.1093526339498472,1.120009302951709,1.1287305308473583,0.008717355166652152,5
crossover_prob,0.8,1.11138004877524,1.1180398819401052,1.1242867525937463,0.005732786177571177,5
crossover_prob,0.9,1.1092476453532991,1.1220266966399124,1.1321385424582504,0.011415994242312532,5
crossover_prob,1.0,1.1087407616187188,1.1193458291011082,1.13042963225077,0.009763720488851966,5
