instance,n_customers,algorithm,best,mean,std,median,cv_pct,feasible_pct,avg_runtime_s
sf_25,25,Greedy,39007.47654879797,39007.47654879797,0.0,39007.47654879797,0.0,0.0,0.00010083305339018504
sf_25,25,Simulated Annealing,1.9679421025037818,1.9851022118797872,0.01705712910015356,1.9853100722441996,0.8592569691412191,100.0,0.18425251419345537
sf_25,25,Genetic Algorithm,2.363887129914703,2.535985528741745,0.1524316969504915,2.590065554314162,6.010747901472531,100.0,1.2854932357246678
sf_25,25,Memetic Algorithm,2.2206837463831244,2.3373833970817803,0.10441883886344352,2.369480840544914,4.467338948065187,100.0,0.4888027914178868
sf_25,25,ACO,2.1177324071471175,2.2230343986371723,0.09153014061621054,2.267850563025073,4.117351520620776,100.0,1.323088222493728
sf_50,50,Greedy,78055.31613077463,78055.31613077463,0.0,78055.31613077463,0.0,0.0,0.00024130521342158318
sf_50,50,Simulated Annealing,2.602078394977415,2.662535204374849,0.08323536447542425,2.628057685484853,3.1261695371636424,100.0,0.3103127915722628
sf_50,50,Genetic Algorithm,4.48768935466623,4.539378171106176,0.07695252069848897,4.502629527530206,1.695221631638962,100.0,4.041976889440169
sf_50,50,Memetic Algorithm,3.0925425035906438,4.186177498514199,0.9508833684575229,4.648431092222408,22.71483635834888,100.0,1.0194082356368501
sf_50,50,ACO,2.6717343470665638,2.709621874795457,0.05841717161585034,2.6802337923105246,2.1559160028651645,100.0,2.4419041252695024
sf_75,75,Greedy,3.578936964293057,3.578936964293057,0.0,3.578936964293057,0.0,100.0,0.0004103754957516988
sf_75,75,Simulated Annealing,3.4159973419864036,3.4598947478642827,0.0450816762084429,3.4576128740940835,1.3029782549388484,100.0,0.4196205137607952
sf_75,75,Genetic Algorithm,3.1197593105851,3.238231061577544,0.12046068639029098,3.234347129341103,3.7199533973837893,100.0,5.140145833604038
sf_75,75,Memetic Algorithm,2.925117688409197,3.049131228827589,0.11658969871419342,3.065765769744647,3.8237022274381722,100.0,1.8378996945296724
sf_75,75,ACO,2.6338040025593523,2.668609751760235,0.030460353545168926,2.681624801726462,1.141431545960478,100.0,3.6604038750131926
sf_100,100,Greedy,63341.6090506765,63341.6090506765,0.0,63341.6090506765,0.0,0.0,0.0006158196677764257
sf_100,100,Simulated Annealing,4.078210776793701,4.355212662267113,0.32359705003376743,4.276532764749234,7.430109046967146,100.0,0.42965430533513427
