algorithm,best,average,worst,std_dev,feasible_runs,n_runs,avg_runtime_s
Greedy,3.578937,3.578937,3.578937,0.000000,10,10,0.0004
Simulated Annealing,2.439099,2.513749,2.689472,0.088584,10,10,6.2699
Genetic Algorithm,2.681270,2.912645,3.105725,0.159578,10,10,36.9272
Memetic Algorithm,2.522511,2.646840,2.767469,0.086939,10,10,22.1602
ACO,2.615367,2.632718,2.673251,0.019669,10,10,54.2713
