algorithm,best_cost,avg_cost,gap_vs_bb_pct,avg_runtime_s,feasible_runs,n_runs
Simulated Annealing,0.9925,0.9940,-4.34,2.1612,10,10
Genetic Algorithm,0.9925,0.9956,-4.34,2.0661,10,10
UMDA (EDA),0.9944,1.0055,-4.16,1.7851,10,10
Greedy BFD (baseline),1.2856,1.2856,23.91,0.0001,1,1
Branch & Bound,1.0376,1.0376,64.65,50.3091,1,1
