param,value,best,average,worst,std_dev,feasible
initial_temperature,0.005,0.9538106255464027,0.9551447104209841,0.9563679669940338,0.0008207633227480668,10
initial_temperature,0.01,0.9539928630929486,0.9557402956639182,0.9570931294138654,0.0009702045655799535,10
initial_temperature,0.05,0.9551522757925348,0.9576030358866829,0.9616311745626748,0.002577037272976703,10
initial_temperature,0.1,0.9546824281521973,0.9576683215984823,0.9613299746894779,0.002666811715980816,10
initial_temperature,0.5,0.9529977446111275,0.9571019455596119,0.9632058463169232,0.0034511545930688637,10
initial_temperature,1.0,0.9543302929548055,0.9575051726760686,0.9611075882136282,0.002405364607624786,10
cooling_rate,0.99,0.9546531042293516,0.9579163798073916,0.9609000700096111,0.001983564879310963,10
cooling_rate,0.992,0.9539119124917123,0.9578719079439344,0.9650261289863019,0.003711592386358069,10
cooling_rate,0.995,0.9543509652424781,0.9567057995181951,0.9598281349633556,0.0018081434726884968,10
cooling_rate,0.997,0.9547145106406778,0.971915908405062,1.0064119719460334,0.02283389241466183,10
cooling_rate,0.999,0.99636415455077,1.0045347933911748,1.0100855061737235,0.0037610308929468816,10
