param,value,best,average,worst,std_dev,feasible
population_size,20,0.9604214135861892,0.9666069267949919,0.9703422041838493,0.0028733374617507155,10
population_size,50,0.9598919085562904,0.9637417927285414,0.9674953010631034,0.002598095196247309,10
population_size,100,0.9574740741682446,0.96057696855465,0.965534530113851,0.002594856969603928,10
crossover_prob,0.6,0.9578927261031576,0.9628270638750775,0.9664755581952974,0.0030648847126210394,10
crossover_prob,0.7,0.9575020926545242,0.9613760073248916,0.9653119696393029,0.0030196768687327565,10
crossover_prob,0.8,0.9574740741682446,0.96057696855465,0.965534530113851,0.002594856969603928,10
crossover_prob,0.9,0.9569596790733985,0.9602747895417163,0.9641492109184882,0.0025221491924421672,10
crossover_prob,1.0,0.956310967860379,0.9606010693577403,0.9656193782365033,0.003111609742749559,10
