focus_mode,n_tasks,n_servers,algorithm,best,average,worst,std_dev,feasible_runs,n_runs,avg_runtime_s
eco,50,10,Simulated Annealing,1.1075,1.1083,1.1103,0.0009,20,20,6.0066
eco,50,10,Genetic Algorithm,1.1086,1.1165,1.1347,0.0086,20,20,6.9407
eco,50,10,UMDA (EDA),1.1085,1.1099,1.1140,0.0013,20,20,10.3577
eco,50,10,Branch & Bound,1.1362,1.1362,1.1362,0.0000,1,1,60.9266
eco,50,10,Greedy BFD (baseline),1.1557,1.1557,1.1557,0.0000,20,20,0.0005
eco,50,10,Round-Robin (baseline),9.2911,9.2911,9.2911,0.0000,0,1,0.0003
eco,50,10,Random (baseline),3.2487,16.9628,32.7172,10.2209,0,20,0.0001
