algorithm,best_cost,avg_cost,gap_vs_bb_pct,avg_runtime_s,feasible_runs,n_runs
Simulated Annealing,1.1315,1.1315,0.00,2.1576,10,10
Genetic Algorithm,1.1315,1.1317,0.00,2.0496,10,10
UMDA (EDA),1.1315,1.1339,0.00,1.7863,10,10
Greedy BFD (baseline),1.1690,1.1690,3.32,0.0001,1,1
Branch & Bound,1.1315,1.1315,13.42,43.2987,1,1
