algorithm,best_cost,avg_cost,gap_vs_bb_pct,avg_runtime_s,feasible_runs,n_runs
Simulated Annealing,0.9925,0.9937,-10.81,27.2007,5,5
Genetic Algorithm,0.9940,0.9971,-10.68,23.3241,5,5
UMDA (EDA),0.9944,1.0042,-10.64,21.4737,5,5
Greedy BFD (baseline),1.2856,1.2856,15.53,0.0009,1,1
Branch & Bound,1.1128,1.1128,76.58,60.3481,1,1
