focus_mode,n_tasks,n_servers,algorithm,seed,best_cost,energy_W,latency_ms,cpu_violation,mem_violation,n_active_servers,feasible,runtime_s
performance,50,10,UMDA (EDA),17,0.9628,13244.6368,26901.1366,0.0000,0.0000,10,True,4.7435
performance,50,10,UMDA (EDA),18,0.9585,13185.1113,26782.2380,0.0000,0.0000,10,True,4.8748
performance,50,10,UMDA (EDA),19,0.9668,13586.4734,26849.8484,0.0000,0.0000,10,True,4.7762
performance,50,10,Branch & Bound,0,1.2268,12212.8257,36932.1401,0.0000,0.0000,6,True,60.8546
performance,50,10,Greedy BFD (baseline),0,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0004
performance,50,10,Greedy BFD (baseline),1,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),2,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),3,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),4,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),5,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),6,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),7,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),8,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),9,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),10,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),11,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),12,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),13,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),14,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),15,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),16,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0005
performance,50,10,Greedy BFD (baseline),17,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0006
performance,50,10,Greedy BFD (baseline),18,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0006
performance,50,10,Greedy BFD (baseline),19,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0006
performance,50,10,Round-Robin (baseline),0,9.0235,15325.2319,29855.0794,1.0419,27500.6340,10,False,0.0003
performance,50,10,Random (baseline),0,8.4317,15288.2567,30073.0570,86.0183,8612.8759,10,False,0.0002
performance,50,10,Random (baseline),1,18.7134,14967.3305,33399.4532,81.3151,45091.7649,10,False,0.0011
performance,50,10,Random (baseline),2,27.8406,16163.9879,36265.2352,145.1852,63944.3302,10,False,0.0001
performance,50,10,Random (baseline),3,25.9848,15971.3184,36771.3001,249.9089,36724.0665,10,False,0.0006
performance,50,10,Random (baseline),4,10.4078,14372.9830,32969.1342,39.6424,24443.7189,10,False,0.0001
performance,50,10,Random (baseline),5,30.7275,15693.8158,37434.7386,180.8948,66862.0713,10,False,0.0001
performance,50,10,Random (baseline),6,5.7045,15139.3129,31612.8986,74.5370,1231.0612,10,False,0.0001
performance,50,10,Random (baseline),7,24.1863,15364.7663,34849.0818,187.8352,42948.6455,9,False,0.0001
performance,50,10,Random (baseline),8,32.7830,15343.6968,36633.1686,240.4037,62359.2207,10,False,0.0003
performance,50,10,Random (baseline),9,24.8297,16008.6132,33404.7965,190.4052,44789.1885,10,False,0.0001
performance,50,10,Random (baseline),10,17.0713,15508.2837,34424.9314,18.5242,51652.6643,10,False,0.0001
performance,50,10,Random (baseline),11,4.9635,14990.5112,31789.7206,34.7267,6510.6855,10,False,0.0001
performance,50,10,Random (baseline),12,15.4134,15726.5920,32513.4096,29.0377,43966.3738,10,False,0.0001
performance,50,10,Random (baseline),13,31.7932,15497.3869,37006.7554,254.7132,56032.9453,10,False,0.0001
performance,50,10,Random (baseline),14,6.6858,14779.6203,32069.3786,82.3827,3076.9573,10,False,0.0001
performance,50,10,Random (baseline),15,3.5037,15305.1998,33714.3390,7.0699,6684.3416,10,False,0.0001
performance,50,10,Random (baseline),16,2.9691,15215.4793,30796.2514,0.5115,6406.4621,10,False,0.0001
performance,50,10,Random (baseline),17,23.6375,15885.6322,36331.8301,185.3175,41359.3054,10,False,0.0001
performance,50,10,Random (baseline),18,5.5198,14778.5184,32395.4519,1.7508,14924.7697,10,False,0.0001
performance,50,10,Random (baseline),19,15.8161,15168.3578,34274.0498,163.3576,18666.9062,10,False,0.0001
