param,value,best,average,worst,std_dev,feasible
initial_temperature,0.005,0.9538106255464027,0.9553268454242463,0.9563679669940338,0.0010767564427812868,5
initial_temperature,0.01,0.9553711608964028,0.9563881316006879,0.9570931294138655,0.0006684155302722785,5
initial_temperature,0.05,0.9551522757925348,0.9566995755850193,0.9616311745626748,0.002764249782555437,5
initial_temperature,0.1,0.9556714812165465,0.9584685848423324,0.9609685058543047,0.002565983481629862,5
initial_temperature,0.5,0.9547553038893125,0.9577083338241331,0.9632058463169232,0.0033905353706816035,5
initial_temperature,1.0,0.9544316284547769,0.9567595728933168,0.9579641229131723,0.0014887857660987219,5
cooling_rate,0.99,0.9553974945200233,0.958462959377529,0.9611949250911507,0.002305075535736401,5
cooling_rate,0.992,0.9546075596970928,0.9572507589290549,0.9592289377827639,0.001978463196677976,5
cooling_rate,0.995,0.9546482568521715,0.9589719628063913,0.9619715801545433,0.0028218743761663618,5
cooling_rate,0.997,0.9544752908450396,0.977427851149129,1.0117929593767605,0.030772285133438968,5
cooling_rate,0.999,1.0054959702499988,1.0089778324182146,1.0122916464868659,0.003078137119500892,5
